U.S. dairy situation at a glance,,,,,,,,,,,,,,,,,,
,,  Units,Annual,,Monthly,,,,,,,,,,,,,
,Dry skim milk products 4,Mil. lb.,"2,665","2,730",212,199,221,217,215,201,225,232,233,215,217,191,183,NA
Ending stocks,,,,,,,,,,,,,,,,,,
,Butter,Mil. lb.,274,199,324,279,210,199,219,263,283,298,322,331,315,278,267,NA
,American cheese,Mil. lb.,802,843,844,843,835,843,838,831,822,836,858,847,860,842,843,NA
,Other-than-American cheese  ,Mil. lb.,595,599,614,605,587,599,607,636,636,645,655,660,662,640,627,NA
,Dry skim milk products,Mil. lb.,297,259,268,228,234,259,267,295,296,307,325,325,345,318,282,NA
,All products (m.e. milk-fat basis) 5,Mil. lb.,"15,614","14,339","17,924","16,434","14,559","14,339","14,738","15,803","16,321","16,973","18,055","18,441","18,407","17,255","16,557",NA
,All products (m.e. skim-solids basis),Mil. lb.,"10,877","11,059","11,232","10,627","10,548","11,059","11,179","11,694","11,769","12,082","12,503","12,481","12,911","12,379","11,868",NA
Domestic commercial disappearance,,,,,,,,,,,,,,,,,,
,Butter  ,Mil. lb.,"2,098","2,149",186,208,226,194,172,134,177,164,158,146,166,175,151,NA
,American cheese ,Mil. lb.,"5,159","5,363",425,444,443,448,462,432,461,436,439,449,433,451,425,NA
,Other-than-American cheese   ,Mil. lb.,"7,505","7,726",639,669,675,666,663,597,680,642,650,642,644,684,678,NA
,Dry skim milk products,Mil. lb.,844,801,79,92,46,66,76,33,47,58,38,63,54,75,76,NA
,All products (m.e. milk-fat basis),Mil. lb.,"217,750","221,412","18,398","19,593","19,480","18,602","18,159","15,745","18,417","17,902","18,067","17,728","18,628","19,483","18,506",NA
,All products (m.e. skim-solids basis),Mil. lb.,"179,937","179,668","14,499","15,503","14,320","15,219","15,922","13,610","15,428","14,691","14,826","14,629","14,739","15,410","14,797",NA
Imports,,,,,,,,,,,,,,,,,,
,All products (m.e. milk-fat basis),Mil. lb.,"6,775","6,532",601,548,576,545,430,367,535,643,653,613,675,621,614,NA
,All products (m.e. skim-solids basis),Mil. lb.,"5,601","5,765",491,459,556,461,500,471,538,524,573,514,568,531,519,NA
Exports,,,,,,,,,,,,,,,,,,
,All products (m.e. milk-fat basis),Mil. lb.,"9,264","11,611","1,070",980,900,865,822,"1,008","1,200","1,210","1,177","1,339","1,186","1,235","1,001",NA
,All products (m.e. skim-solids basis),Mil. lb.,"47,216","51,131","4,100","4,096","4,244","3,433","3,408","3,797","4,635","4,644","4,999","4,747","4,504","4,598","4,428",NA
Oceania export prices,,,,,,,,,,,,,,,,,,
,Butter,$/mt,"3,875","5,129","4,855","4,982","5,639","5,829","6,067","6,578","6,949","6,850","6,176","6,049","5,633","5,277","5,375",NA
,Skim milk powder,$/mt,"2,806","3,366","3,216","3,378","3,603","3,733","3,930","4,260","4,568","4,534","4,168","4,260","3,926","3,566","3,561",NA
Abbreviations: m.e. = milk equivalent; Mil. lb. = million pounds; $/cwt = dollars per hundredweight; $/lb. = dollars per pound; yoy % chg = year-over-year percent change; Mil. gal. = million gallons; $/mt = dollars per metric ton; NA = not available.,,,,,,,,,,,,,,,,,,
"1 Wholesale dairy product prices are from Announcement of Class and Component Prices, a monthly publication by USDA, Agricultural Marketing Service (AMS).",,,,,,,,,,,,,,,,,,
2 Prices reported for Cheddar cheese 500-pound barrels are adjusted to 38-percent moisture content.,,,,,,,,,,,,,,,,,,
"3 Frozen products include regular hard ice cream, low fat ice cream, hard sherbet, and frozen yogurt. No mixes are included in the totals.",,,,,,,,,,,,,,,,,,
"4 Dry skim milk products include nonfat dry milk (NDM), skim milk powder (SMP), and dry skim milk for animal use. For ending stocks, SMP is not included since data are not available.",,,,,,,,,,,,,,,,,,
"5 The milk-equivalent calculations for the ending stocks of ""all products"" include all dairy products for which USDA, National Agricultural Statistics Service (NASS) provides data.",,,,,,,,,,,,,,,,,,
"Sources: USDA, Economic Research Service calculations using USDA, NASS; USDA, Foreign Agricultural Service; USDA, AMS; U.S. Department of Commerce, Bureau of the Census; and U.S. Department of Labor, Bureau of Labor Statistics.",,,,,,,,,,,,,,,,,,
Numerous sources were used for conversion factors. See the workbook Conversion factors and sources on the ERS Dairy Data Documentation web page.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last updated: 11/10/2022,,,,,,,,,,,,,,,,,,

