AVERAGE_YEAR,COUNTY,ELECTORAL_DIVISION,NUMBER_OF_HERDS,AVERAGE_NUMBER_CATTLE,AVERAGE_CATTLE_BEEF,AVERAGE_CATTLE_DAIRY,AVERAGE_CATTLE_AGE_0_3MTH,AVERAGE_CATTLE_AGE_3_6MTH,AVERAGE_CATTLE_AGE_6_12MTH,AVERAGE_CATTLE_AGE_12_18MTH,AVERAGE_CATTLE_AGE_18_24MTH,AVERAGE_CATTLE_AGE_24_36MTH,AVERAGE_CATTLE_AGE_36MTH_PLUS,,,,,,
2020,CARLOW,COONOGUE,40,1130.75,1058.75,72,85.5,90.25,177.25,137,118.25,126.5,396,,,,,,
2020,CARLOW,CORRIES,36,3067.25,1317.25,1750,298.5,237,445.75,398.5,325.25,261.75,1100.5,,,,,,
2020,CARLOW,CRANEMORE,67,2971.75,2658.5,313.25,247,290.25,516,449.75,381,250,837.75,,,,,,
2020,CARLOW,FEENAGH,31,1536,615.5,920.5,144.5,95.5,242,175.25,116.5,203.5,558.75,,,,,,
2020,CARLOW,GARRYHILL,63,2807.5,2225.75,581.75,201,246.25,556.25,525.25,416,296,566.75,,,,,,
2020,CARLOW,GLYNN,36,2340.25,1285,1055.25,196.5,208.75,390.5,298.5,284.5,250,711.5,,,,,,
2020,CARLOW,GRANGEFORD,17,804.75,371,433.75,61.25,53.25,115.75,86.5,79.75,110,298.25,,,,,,
2020,CARLOW,HACKETSTOWN,53,3758.25,2603.75,1154.5,310.75,293.5,560.5,456.5,412.5,530,1194.5,,,,,,
2020,CARLOW,HAROLDSTOWN,23,1992,1454,538,117.25,126.75,286,330.5,355,311.5,465,,,,,,
2020,CARLOW,JOHNSTOWN,21,1542.5,683.5,859,156.5,145.75,282.75,224.25,215,172.25,346,,,,,,
2020,CARLOW,KELLISTOWN,24,1517,644.5,872.5,108.75,73,150.25,195,232.75,247,510.25,,,,,,
2020,CARLOW,KILBRIDE,27,2034.5,1345,689.5,126.5,149,306.75,365.5,388.5,249.25,449,,,,,,
2020,CARLOW,KILLEDMOND,42,1705.25,1498,207.25,146.5,163,284.75,219.75,175,169,547.25,,,,,,
2020,CARLOW,KILLERRIG,15,785,725.5,59.5,69,79.75,145.25,137.25,139.5,60.75,153.5,,,,,,
2020,CARLOW,KINEAGH,31,3332.5,2000.25,1332.25,191.25,177.75,398,488.75,537,604.5,935.25,,,,,,
2020,CARLOW,KYLE,34,2726,1444,1282,223.75,207,414.25,376,294,309.5,901.5,,,,,,
2020,CARLOW,LEIGHLINBRIDGE,35,2619.75,1475,1144.75,181.75,162,357.75,386.75,396.5,404.25,730.75,,,,,,
2020,CARLOW,MARLEY,37,2463.25,1350.5,1112.75,191.5,210.25,399.75,355.75,301.25,307,697.75,,,,,,
2020,CARLOW,MUINEBEG,23,2964.25,1624,1340.25,143,98.75,172,324.75,780.5,589.5,855.75,,,,,,
2020,CARLOW,MYSHALL,37,1600.75,1033,567.75,124.5,164,287.5,217.5,145.5,143,518.75,,,,,,
2020,CARLOW,NURNEY,40,3609.5,1815.25,1794.25,258.25,273.5,543.25,548,458.5,408.75,1119.25,,,,,,
2020,CARLOW,OLDLEIGHLIN,41,2906.75,2003.75,903,216,197,429.25,469.75,450.5,326.75,817.5,,,,,,
2020,CARLOW,RAHILL,27,2409,1502.25,906.75,179.75,201.5,404.5,345,246.75,197.25,834.25,,,,,,
2020,CARLOW,RATHANNA,25,774,697.5,76.5,54,70,130.25,135.25,115,63.5,206,,,,,,
2020,CARLOW,RATHORNAN,31,2574,1691.5,882.5,210,186,365.75,328.75,317,314.25,852.25,,,,,,
2020,CARLOW,RATHRUSH,32,3752.5,1591.5,2161,247.75,250.25,455.75,355.75,498.5,699.75,1244.75,,,,,,
2020,CARLOW,RATHVILLY,23,1062.25,622.25,440,72.25,71,126,182,160.75,142,308.25,,,,,,
2020,CARLOW,RIDGE,27,3237.75,1905.5,1332.25,257,273.25,411.25,465.25,566.5,361,903.5,,,,,,
2020,CARLOW,SHANGARRY,42,2035.25,1344.5,690.75,151.5,186.75,340.75,318,287.5,186.5,564.25,,,,,,
2020,CARLOW,SLIGUFF,22,1844,1470.25,373.75,150.5,146.75,318.5,313.75,241.75,225,447.75,,,,,,
2020,CARLOW,TANKARDSTOWN,28,1576.25,1462.75,113.5,94.5,105.25,189.5,233.5,321.25,326,306.25,,,,,,
2020,CARLOW,TEMPLEPETER,28,916,630.25,285.75,50.25,45,136.25,175.5,168,113.25,227.75,,,,,,
2020,CARLOW,TICKNOCK,15,1050.5,731,319.5,84.25,78.5,137.5,127.25,119.25,124.25,379.5,,,,,,
2020,CARLOW,TINNAHINCH,23,1700,975,725,128.5,148,267.25,233.5,185.5,152,585.25,,,,,,
2020,CARLOW,TULLOW,34,2679.75,1548.5,1131.25,203.5,212.5,477,448,354.5,286.75,697.5,,,,,,
2020,CARLOW,TULLOWBEG,19,1071,833,238,144.5,157,252.5,180.25,76.5,39,221.25,,,,,,
2020,CARLOW,WILLIAMSTOWN,20,1567.75,1067.75,500,94.25,89.75,225.5,303.75,302,241.5,311,,,,,,
2020,CAVAN,ARDUE,69,2293,1610,683,222,239.75,465.5,311.25,198.25,204.25,652,,,,,,
2020,CAVAN,ARVAGH,87,4007.75,2465.25,1542.5,288.5,315,613.5,459.75,378,516.5,1436.5,,,,,,
2020,CAVAN,ASHFIELD,35,1955.5,1383.75,571.75,144.5,123.75,270.5,291.25,255.5,210.5,659.5,,,,,,
2020,CAVAN,BAILIEBOROUGH,117,5605.75,4138.5,1467.25,453,474.5,944,699,544,694.25,1797,,,,,,
2020,CAVAN,BALLINTEMPLE,53,2963.25,1621,1342.25,224.5,232.25,447,357.5,255.25,343,1103.75,,,,,,
2020,CAVAN,BALLYCONNELL,54,1929,1737.5,191.5,145.25,139,294.25,299,233.75,192.5,625.25,,,,,,
2020,CAVAN,BALLYHAISE,38,1613,1314.25,298.75,120.5,118.5,263.75,257.75,240.5,174,438,,,,,,
2020,CAVAN,BALLYJAMESDUFF,67,2530,1940.75,589.25,174,186,379.5,352,350.25,443.25,645,,,,,,
2020,CAVAN,BALLYMACHUGH,70,3470,3106.75,363.25,211.5,272.75,642.25,653,508.75,312,869.75,,,,,,
2020,CAVAN,BALLYMAGAURAN,39,2089,1160.5,928.5,181.75,168.5,307.5,243.25,194,230.25,763.75,,,,,,
2020,CAVAN,BAWNBOY,59,1729.75,1242.5,487.25,146.25,141.25,249.5,192,183.5,172.5,644.75,,,,,,
2020,CAVAN,BELLANANAGH,55,2488,1525,963,197.25,184,312.75,232.25,195.75,251.25,1114.75,,,,,,
2020,CAVAN,BELTURBET,12,430.5,427.75,2.75,31.5,32.5,70.5,75,57.75,47.25,116,,,,,,
2020,CAVAN,BENBRACK,28,467.5,451.75,15.75,48.5,48.75,71.75,36,21.25,45,196.25,,,,,,
2020,CAVAN,BILBERRY,20,839,701.5,137.5,79.75,77.5,143.25,104.25,61.75,56.25,316.25,,,,,,
2020,CAVAN,BRUCE HALL,36,1591.5,996,595.5,135.25,126.5,229.75,162.75,126,189.5,621.75,,,,,,
2020,CAVAN,BUTLER'S BRIDGE,15,732.75,593.25,139.5,55.75,56.75,120.5,108,81,56,254.75,,,,,,
2020,CAVAN,CANNINGSTOWN,81,4156.25,2598.5,1557.75,329.5,328.75,762,665.75,464.75,395.75,1209.75,,,,,,
2020,CAVAN,CARN,28,960,639.25,320.75,77,75.25,125.25,94,87.75,109.75,391,,,,,,
2020,CAVAN,CARNAGARVE,55,3933.5,2421.5,1512,276,278,589.5,591.5,490.75,444.75,1263,,,,,,
2020,CAVAN,CARRAFIN,52,1974.25,1633.75,340.5,177.5,173.25,318,261.5,181,180.75,682.25,,,,,,
2020,CAVAN,CASTLERAHAN,81,4193,2847.25,1345.75,337,349,679.5,549.75,498.25,534,1245.5,,,,,,
2020,CAVAN,CASTLESAUNDERSON,28,1482.5,1181.25,301.25,97,113.5,224.25,211.25,165.25,160.5,510.75,,,,,,
2020,CAVAN,CAVAN,75,3633,2808,825,255.75,260.75,566,627.25,511.5,412.75,999,,,,,,
2020,CAVAN,CLONERVY,63,2894.5,1908.25,986.25,195.75,193.25,441,427,418,372,847.5,,,,,,
2020,CAVAN,COOTEHILL,80,5804.25,2772.5,3031.75,444.5,426.5,854,726.25,652.5,705.25,1995.25,,,,,,
2020,CAVAN,CORR,36,1445.75,1046,399.75,107.25,92.75,182.5,175.5,167.75,194.5,525.5,,,,,,
2020,CAVAN,CORRANNEARY,62,3561.25,1771.25,1790,287,280,561.25,492,409,402.75,1129.25,,,,,,
2020,CAVAN,CROSSBANE,64,4015.25,2527.75,1487.5,334.25,329.5,603,515.75,439.5,468.5,1324.75,,,,,,
2020,CAVAN,CROSSDONEY,48,2777,1397,1380,233,219.75,355.5,351.25,299.75,328,989.75,,,,,,
2020,CAVAN,CROSSKEYS,70,3153.25,2342,811.25,280,288,556,393.5,271.75,250.5,1113.5,,,,,,
2020,CAVAN,CUTTRAGH,48,2218.25,1586,632.25,187.75,196,375.5,288,224.75,184.75,761.5,,,,,,
2020,CAVAN,DENN,87,3448.75,2167.25,1281.5,282.25,279.25,529,415.25,340,355.75,1247.25,,,,,,
2020,CAVAN,DERRIN,50,2579.5,1629.5,950,196.75,228.5,394,226,189.25,292.75,1052.25,,,,,,
2020,CAVAN,DERRYLAHAN,40,499.25,497.25,2,45,43.5,64.5,34.25,29,42.5,240.5,,,,,,
2020,CAVAN,DERRYNANANTA,22,148.25,147,1.25,12.75,15.75,24.75,17,8.75,5.75,63.5,,,,,,
2020,CAVAN,DIAMOND,19,778.75,593.75,185,69.5,67.25,105,69.75,76.25,82.75,308.25,,,,,,
2020,CAVAN,DOOGARY,27,593.5,438,155.5,48.5,56,107.25,63.75,42.5,70.5,205,,,,,,
2020,CAVAN,DOWRA,45,667.75,667.75,0,70.25,68,90.5,39.5,26.25,46.25,327,,,,,,
2020,CAVAN,DRUMANESPICK,42,1592.5,1172,420.5,116.25,120,261,275,200,140.25,480,,,,,,
2020,CAVAN,DRUMCARBAN,65,2110.75,1701.5,409.25,181.25,175.5,347,247.5,158.25,219.5,781.75,,,,,,
2020,CAVAN,DRUMCARN,81,3521.5,3018.5,503,298.5,301.5,551.75,429.25,355.25,426.5,1158.75,,,,,,
2020,CAVAN,DRUMLUMMAN,74,3181,2667,514,242.5,228.75,467.25,467.25,402,376.25,997,,,,,,
2020,CAVAN,DRUNG,77,4502.75,3123.75,1379,337,354,713.75,651.75,507.5,437.25,1501.5,,,,,,
2020,CAVAN,DUNMAKEEVER,43,647.25,639.75,7.5,68.25,67.25,70.25,27.5,29.75,54.5,329.75,,,,,,
2020,CAVAN,ENNISKEEN,57,2708,1547.75,1160.25,215.75,180,357,322.25,309.5,343.5,980,,,,,,
2020,CAVAN,ESKY,34,691.5,583.25,108.25,61.75,61,103.5,76.75,56.75,61.5,270.25,,,,,,
2020,CAVAN,GRADDUM,59,2965.5,1968,997.5,196.25,177.5,383.75,479.5,473.5,372.5,882.5,,,,,,
2020,CAVAN,GRILLY,45,1466.5,1180.25,286.25,110.5,141.75,225.75,169.25,121.75,129.5,568,,,,,,
2020,CAVAN,KILBRIDE,92,5456,3356.25,2099.75,425.25,411.5,787,705.25,640.75,718,1768.25,,,,,,
2020,CAVAN,KILCOGY,71,2779,2114,665,217,207.5,388.5,337.25,286.75,367.5,974.5,,,,,,
2020,CAVAN,KILCONNY,47,1264.25,1157,107.25,91,98.75,208.5,177.75,118.25,121.75,448.25,,,,,,
2020,CAVAN,KILGOLAGH,47,1681.25,1549.5,131.75,137.75,161,315.5,226.5,178.75,132.25,529.5,,,,,,
2020,CAVAN,KILL,49,1975.25,1365,610.25,156.5,158.5,324,237.25,191,211,697,,,,,,
2020,CAVAN,KILLASHANDRA,75,3163.5,2486.75,676.75,267.25,258,521.75,404.5,278.5,281.75,1151.75,,,,,,
2020,CAVAN,KILLINAGH,37,638.5,636.75,1.75,68,74,102,39.25,26.5,38.75,290,,,,,,
2020,CAVAN,KILLINKERE,56,3315.75,2154.75,1161,274.5,270.25,561.75,406.25,309.75,358.75,1134.5,,,,,,
2020,CAVAN,KILLYKEEN,55,4525.75,2188.25,2337.5,323.25,335,727.75,608,535.75,571.5,1424.5,,,,,,
2020,CAVAN,KILNALECK,64,2642.75,1586.25,1056.5,192,198,432,344.25,263.5,263.25,949.75,,,,,,
2020,CAVAN,KINAWLEY,21,433.75,427.75,6,37.5,39,60,49.75,29,34.75,183.75,,,,,,
2020,CAVAN,KINGSCOURT,65,2809.25,2156.5,652.75,233,199.25,416.5,443,464.25,385.75,667.5,,,,,,
2020,CAVAN,KNAPPAGH,70,3951.5,2558.25,1393.25,304.5,309.75,632.5,524,422.75,440.75,1317.25,,,,,,
2020,CAVAN,LARAH NORTH,59,4812,2137.25,2674.75,420.25,371,680,579.5,419,500.75,1841.5,,,,,,
2020,CAVAN,LARAH SOUTH,84,4086.25,2803,1283.25,333.5,318.75,676,642.25,472.25,416.25,1227.25,,,,,,
2020,CAVAN,LISAGOAN,56,2710.5,2038.75,671.75,180.25,182.25,378,439,413.5,326.25,791.25,,,,,,
2020,CAVAN,LISSANOVER,42,2492.75,1169,1323.75,213,162.5,297,259.25,227.5,285,1048.5,,,,,,
2020,CAVAN,LOUGHDAWAN,51,1849.75,1583.75,266,173,157.5,281.5,214,123.75,171,729,,,,,,
2020,CAVAN,LURGAN,34,1453.75,906,547.75,90.5,78.25,191.25,224.75,220.75,220,428.25,,,,,,
2020,CAVAN,MILLTOWN,58,2588.75,1626.25,962.5,184,171.75,403,339.75,238.75,273.5,978,,,,,,
2020,CAVAN,MOYNEHALL,90,4046.25,2563.25,1483,299,296.25,667.25,629.5,526.75,490.25,1137.25,,,,,,
2020,CAVAN,MULLAGH,66,4678,3176.5,1501.5,347.75,371,773.5,708.5,545.75,504.5,1427,,,,,,
2020,CAVAN,MUNTERCONNAUGHT,65,4725,2750.5,1974.5,373,308.5,574.75,567.25,508.75,691.25,1701.5,,,,,,
2020,CAVAN,PEDARA VOHERS,32,491.75,490.25,1.5,45,48.5,74,30.5,25.75,39,229,,,,,,
2020,CAVAN,RAKENNY,60,3641,2161.75,1479.25,284.5,289.75,530.5,462.75,395.5,512.75,1165.25,,,,,,
2020,CAVAN,REDHILL,50,2237.25,1675.75,561.5,149.75,164.25,330,286.5,243.75,244.5,818.5,,,,,,
2020,CAVAN,SCRABBY,42,1784.75,1523.25,261.5,146.5,158.75,305.5,251.5,172.5,159.25,590.75,,,,,,
2020,CAVAN,SHERCOCK,74,3282.5,2090,1192.5,249,267.75,551.75,512,396,406.5,899.5,,,,,,
2020,CAVAN,SKEAGH,58,3578,2216.25,1361.75,312.75,302.75,572.5,432.75,342.75,392.5,1222,,,,,,
2020,CAVAN,SPRINGFIELD,42,2074,1447.5,626.5,184.75,172.5,287,225.5,189.75,220,794.5,,,,,,
2020,CAVAN,STRADONE,67,3368,2256.25,1111.75,251.25,285.75,557.25,524.25,381.75,313.5,1054.25,,,,,,
2020,CAVAN,SWANLINBAR,36,1084.5,910.5,174,106.5,107,150,66.75,60,92.25,502,,,,,,
2020,CAVAN,TAGHART,72,3049.75,2075.75,974,234.25,219,457.25,459.75,346,385.25,948.25,,,,,,
2020,CAVAN,TEEBANE,14,233.75,233.5,0.25,24.25,24.75,32.75,11.5,11.5,16,113,,,,,,
2020,CAVAN,TEMPLEPORT,55,1078.5,1049.5,29,94.25,95.5,162.5,91.75,55.25,91.5,487.75,,,,,,
2020,CAVAN,TERMON,56,2979.25,2232.25,747,248.25,251,533.25,425,309.75,285.75,926.25,,,,,,
2020,CAVAN,TIRCAHAN,25,1054.75,1054.75,0,79.75,83,166.75,150.5,125.25,97.5,352,,,,,,
2020,CAVAN,TUAM,41,922.5,886,36.5,101.5,103.25,140.75,59.5,41.75,59.25,416.5,,,,,,
2020,CAVAN,TULLYVIN EAST,52,2562.25,1439.5,1122.75,219.5,182.5,363,350,287.25,305.25,854.75,,,,,,
2020,CAVAN,TULLYVIN WEST,40,2366,1584.5,781.5,154,157.75,351.25,345,297.25,368.25,692.5,,,,,,
2020,CAVAN,VIRGINIA,153,8345,6097.75,2247.25,640.25,641.5,1300,1321.5,1108.5,907.5,2425.75,,,,,,
2020,CAVAN,WATERLOO,96,4371.5,2910.75,1460.75,355.75,349.5,703.25,606.5,462.25,411.25,1483,,,,,,
2020,CLARE,ABBEY,51,3277.25,2768.5,508.75,321,304.75,473,338.75,214,267,1358.75,,,,,,
2020,CLARE,ANNAGH,93,2717.75,2495,222.75,276,274.75,399.25,241.5,182.5,236,1107.75,,,,,,
2020,CLARE,AYLE,25,1126.75,1123.25,3.5,101.75,103.5,182.25,138,106,82,413.25,,,,,,
2020,CLARE,BALLAGH,40,889,849.75,39.25,76,66.25,137,96.5,70,81.25,362,,,,,,
2020,CLARE,BALLYBLOOD,19,1850,1126,724,128,145.25,285.5,255,217.75,243.75,574.75,,,,,,
2020,CLARE,BALLYCANNAN,9,581,541.5,39.5,45.25,54.75,103.5,116.25,82.75,54,124.5,,,,,,
2020,CLARE,BALLYEA,81,2033.75,1860.5,173.25,204,203,287,172,140.75,205.5,821.5,,,,,,
2020,CLARE,BALLYEIGHTER,8,279,277,2,24.5,25.5,42.25,24.25,22,35,105.5,,,,,,
2020,CLARE,BALLYGLASS,23,1535.5,1047.5,488,157.5,134.25,225,156.25,101.25,168.5,592.75,,,,,,
2020,CLARE,BALLYNACALLY,30,1389,747.5,641.5,96.25,92,254.75,291,207.75,136,311.25,,,,,,
2020,CLARE,BALLYNAHINCH,38,2376,1766.75,609.25,200.75,192.5,379.75,282.75,217.75,262.25,840.25,,,,,,
2020,CLARE,BALLYSTEEN,47,2247.75,2074.75,173,203.75,206.5,366,306,228,218.25,719.25,,,,,,
2020,CLARE,BALLYVASKIN,37,1348.25,1294.75,53.5,118.5,119.5,210,166.25,105,141.25,487.75,,,,,,
2020,CLARE,BOHERGLASS,26,985,873.25,111.75,67.75,81.25,134.75,149.25,126.5,84.25,341.25,,,,,,
2020,CLARE,BOSTON,60,3644,3303.5,340.5,377,374,595.5,373.5,272.25,262,1389.75,,,,,,
2020,CLARE,CAHER,38,1541,1371.75,169.25,141.75,132.25,208.75,126.5,130.75,143,658,,,,,,
2020,CLARE,CAHERHURLY,48,2132,1202.75,929.25,173.25,164.25,271.25,164.75,110.5,218.25,1029.75,,,,,,
2020,CLARE,CAHERMURPHY (FEAKLE),9,284,284,0,28,29,50.5,32.75,15.75,17.25,110.75,,,,,,
2020,CLARE,CAHERMURPHY (KILMIHIL),35,1269.5,1198.5,71,95.75,97,197.75,154.5,139.5,177,408,,,,,,
2020,CLARE,CAPPAGHABAUN,23,854.75,849.25,5.5,50.25,60.25,117,107.75,105,144.75,269.75,,,,,,
2020,CLARE,CAPPAVILLA,14,1364,725.75,638.25,120.75,108.25,221,164.5,113,142.5,494,,,,,,
2020,CLARE,CARRAN,29,1425,1299.75,125.25,160.25,148.75,181.25,88.25,77.25,160.75,608.5,,,,,,
2020,CLARE,CARRONBAUN,7,304,304,0,25.75,27,61,50.25,37.5,20,82.5,,,,,,
2020,CLARE,CASTLECRINE,31,1442,1178.5,263.5,131.5,139,226.25,148,133.5,145.25,518.5,,,,,,
2020,CLARE,CASTLETOWN,25,1729.75,1698.25,31.5,184,174,270,137.75,109.25,183.5,671.25,,,,,,
2020,CLARE,CLAREABBEY,48,1972.5,1730,242.5,113.75,115.75,264.25,330.5,326.75,342.5,479,,,,,,
2020,CLARE,CLENAGH,39,1933.25,1707.5,225.75,122.5,158.5,342,268,245.5,271.25,525.5,,,,,,
2020,CLARE,CLOGHAUN,23,750.5,750.5,0,62.75,59.75,91.25,97.25,80,86,273.5,,,,,,
2020,CLARE,CLOGHERA,43,2389.75,1582.75,807,179.5,180.5,327.25,303,278.5,355.25,765.75,,,,,,
2020,CLARE,CLONDAGAD,42,1520.75,1398.25,122.5,147,156,277.5,188,149.25,142.75,460.25,,,,,,
2020,CLARE,CLOONADRUM,43,2342,1598.25,743.75,204.75,185.5,343.25,252,198,267,891.5,,,,,,
2020,CLARE,CLOONANAHA,52,1368.5,1362,6.5,139,137.25,197.25,107,80.5,110,597.5,,,,,,
2020,CLARE,CLOONCOORHA,57,3022.25,2195.75,826.5,274.5,253.75,426.5,299.25,291.25,381.25,1095.75,,,,,,
2020,CLARE,CLOONEY (ENNISTYMON),47,1271.25,1170,101.25,123.5,113.5,192.5,115.25,66.5,100.5,559.5,,,,,,
2020,CLARE,CLOONEY (QUIN),36,1840,1662.25,177.75,117.25,126.5,302,329,309.5,270.5,385.25,,,,,,
2020,CLARE,CLOONTRA,32,1963.25,995.5,967.75,179.75,143.25,277.5,226.75,180.75,175.25,780,,,,,,
2020,CLARE,CLOONUSKER,34,1140.25,945.5,194.75,79.75,81.75,159.5,127.5,129,138.25,424.5,,,,,,
2020,CLARE,COOLMEEN,33,1727.75,1295,432.75,124.75,117.75,272.25,259,208.75,177,568.25,,,,,,
2020,CLARE,COOLREAGH,30,1410,1180.5,229.5,127.75,124,221.25,130.25,129.75,149.25,527.75,,,,,,
2020,CLARE,COONAGH,9,447,279.5,167.5,40,41,74,57.25,27,38.5,169.25,,,,,,
2020,CLARE,COORACLARE,59,3500,1788.25,1711.75,305.75,285.25,499,344.5,262.5,284.25,1518.75,,,,,,
2020,CLARE,CORLEA,15,324,308.5,15.5,16.75,19.75,51.75,64.5,46.25,47.25,77.75,,,,,,
2020,CLARE,CORROFIN,60,3444.75,2691.5,753.25,306.75,279.25,491.75,418.5,301.25,356.25,1291,,,,,,
2020,CLARE,CRATLOE,40,2079.25,1415.25,664,118.5,140.75,309.25,315.5,282.5,349.5,563.25,,,,,,
2020,CLARE,CREEGH,64,2669.25,1694.5,974.75,227.25,213.5,369,286.5,249.5,273.25,1050.25,,,,,,
2020,CLARE,CRUSHEEN,80,4105.25,3394.25,711,303.25,291,601.25,501.75,393.75,551,1463.25,,,,,,
2020,CLARE,DANGAN,24,1220,911.75,308.25,69.5,67.5,164.75,195.75,209,223.5,290,,,,,,
2020,CLARE,DERREEN,19,593.25,590,3.25,63.5,62,72,67.75,31.75,39,257.25,,,,,,
2020,CLARE,DERRYNAGITTAGH,23,888.25,875.75,12.5,77,78.25,134.5,88.75,75.25,87.25,347.25,,,,,,
2020,CLARE,DOONBEG,57,2560,1631.75,928.25,215.25,206,388,342,239.5,263,906.25,,,,,,
2020,CLARE,DORRA,69,3984.75,3139.5,845.25,257.75,253.75,627.5,583,534.5,602,1126.25,,,,,,
2020,CLARE,DRUMCREEHY,25,1217.75,847.5,370.25,118,110,175.75,111.5,91.25,125.5,485.75,,,,,,
2020,CLARE,DRUMELLIHY,70,2498,1672,826,231.75,222.5,404.25,302,210,263.25,864.25,,,,,,
2020,CLARE,DRUMLINE,27,1915.5,1321,594.5,117.75,123.75,269.5,281.5,281.25,317.25,524.5,,,,,,
2020,CLARE,DRUMMAAN,44,2430.5,1510,920.5,209.25,189.75,321,352.75,297.75,268,792,,,,,,
2020,CLARE,DYSERT,38,1433.5,1358.5,75,130.5,125.25,218,155.75,110.25,135.75,558,,,,,,
2020,CLARE,EINAGH,36,1762,921.75,840.25,158.75,151,252.5,181.75,113,163,742,,,,,,
2020,CLARE,ENNIS,50,1960.75,1944.75,16,88.5,103,365.5,411.5,315.5,297.25,379.5,,,,,,
2020,CLARE,ENNISTIMON,75,2562.25,2239,323.25,274.5,251.25,288,194.25,173.5,219.5,1161.25,,,,,,
2020,CLARE,FAHYMORE,32,2134.75,1741.75,393,172.75,188,306.25,285,289,246.75,647,,,,,,
2020,CLARE,FEAKLE,22,1024,800.25,223.75,83.5,68.25,123.5,118.25,90.25,132.75,407.5,,,,,,
2020,CLARE,FORMOYLE,35,930.25,925.75,4.5,103,96.75,132,52.75,48.25,75.5,422,,,,,,
2020,CLARE,FURROOR,43,941,933,8,97,96.25,145.75,75.75,56.5,67.25,402.5,,,,,,
2020,CLARE,GLENDREE,25,683.5,549.25,134.25,58.5,51.75,96.75,80.75,63.75,76.25,255.75,,,,,,
2020,CLARE,GLENINAGH,25,1028.75,1027.75,1,112.25,91.75,128.25,85,67.5,90.5,453.5,,,,,,
2020,CLARE,GLENMORE,54,2420,1852.5,567.5,234.5,210.5,313.25,217.25,155,193,1096.5,,,,,,
2020,CLARE,GLENROE,29,1370.75,1329.5,41.25,143.25,133,180.5,153.5,103.25,116.75,540.5,,,,,,
2020,CLARE,INISHCALTRA NORTH,26,1012.25,854,158.25,106.5,106,166,89.75,80,99.25,364.75,,,,,,
2020,CLARE,INISHCALTRA SOUTH,8,440.25,212.25,228,45.25,45.5,68.75,29.5,26.5,63.5,161.25,,,,,,
2020,CLARE,KILBALLYOWEN,58,5035,2616.25,2418.75,422.75,376.75,695.25,512,451.5,576.25,2000.5,,,,,,
2020,CLARE,KILCHREEST,64,2200.5,1970.75,229.75,222,215.5,339.5,200.5,167.25,235.5,820.25,,,,,,
2020,CLARE,KILCLOHER,68,2164.5,2002,162.5,164,176.5,383,317.5,214.5,187.75,721.25,,,,,,
2020,CLARE,KILFEARAGH,37,2782.5,1301.25,1481.25,235,219.5,394.75,225.25,183.5,321.5,1203,,,,,,
2020,CLARE,KILFENORA,54,2158.75,1823.25,335.5,210.5,199,298.5,213,155.5,227.75,854.5,,,,,,
2020,CLARE,KILFIDDANE,71,3063.75,2469.75,594,240.5,234.75,493,430.75,334.75,373.5,956.5,,,,,,
